worker_id,output_id,annotation_range
A133HLDA3JJV0M,B4o-057,3
A133HLDA3JJV0M,B4o-099,2
A133HLDA3JJV0M,B5-004,1
A133HLDA3JJV0M,B5-043,1
A133HLDA3JJV0M,B4o-002,2
A133HLDA3JJV0M,B4o-091,3
A133HLDA3JJV0M,B5-005,1
A133HLDA3JJV0M,B5-018,4
A133HLDA3JJV0M,B5-066,4
A133HLDA3JJV0M,BD-039,5
A133HLDA3JJV0M,BD-074,5
A133HLDA3JJV0M,B4o-055,3
A133HLDA3JJV0M,B5-063,4
A133HLDA3JJV0M,B5-081,4
A133HLDA3JJV0M,B5-091,1
A133HLDA3JJV0M,BD-033,5
A133HLDA3JJV0M,BD-076,5
A133HLDA3JJV0M,BD-085,5
A1E80Q7U5UXLMS,B4o-068,4
A1E80Q7U5UXLMS,B4o-058,3
A1E80Q7U5UXLMS,B4o-012,5
A1E80Q7U5UXLMS,BD-064,1
A1E80Q7U5UXLMS,B5-077,3
A1E80Q7U5UXLMS,B4o-075,2
A17QWRCEPG0775,BD-099,1
A17QWRCEPG0775,BD-098,1
A17QWRCEPG0775,B4o-095,2
A17QWRCEPG0775,B5-061,5
A17QWRCEPG0775,BD-091,3
A17QWRCEPG0775,BD-022,5
A3240Z3SG99X06,B4o-072,5
A3240Z3SG99X06,B4o-035,5
A3240Z3SG99X06,B4o-076,4
A3240Z3SG99X06,B4o-073,4
A3240Z3SG99X06,B4o-081,5
A3240Z3SG99X06,BD-089,1
A1E80Q7U5UXLMS,B4o-084,1
A1E80Q7U5UXLMS,B5-098,1
A1E80Q7U5UXLMS,B4o-093,3
A1E80Q7U5UXLMS,B5-054,3
A1E80Q7U5UXLMS,B5-049,1
A1E80Q7U5UXLMS,BD-086,3
A3240Z3SG99X06,B5-055,2
A3240Z3SG99X06,B5-024,4
A3240Z3SG99X06,B5-049,2
A3240Z3SG99X06,B5-069,4
A3240Z3SG99X06,B5-038,4
A3240Z3SG99X06,BD-069,5
A2P3XETFFG5K7J,B5-072,5
A2P3XETFFG5K7J,BD-001,1
A2P3XETFFG5K7J,B4o-038,5
A2P3XETFFG5K7J,B4o-036,5
A2P3XETFFG5K7J,BD-093,5
A2P3XETFFG5K7J,B5-029,1
A3240Z3SG99X06,B4o-099,2
A3240Z3SG99X06,B5-059,4
A3240Z3SG99X06,B4o-083,4
A3240Z3SG99X06,B5-009,3
A3240Z3SG99X06,B4o-061,4
A3240Z3SG99X06,B5-098,2
A3240Z3SG99X06,B4o-066,5
A3240Z3SG99X06,B4o-044,1
A3240Z3SG99X06,BD-083,5
A3240Z3SG99X06,B4o-017,1
A3240Z3SG99X06,B4o-051,4
A3240Z3SG99X06,B5-026,5
A2P3XETFFG5K7J,BD-075,5
A2P3XETFFG5K7J,B4o-059,4
A2P3XETFFG5K7J,B4o-032,5
