discipline,token,count_in_highbias,avg_bias_in_discipline,delta_vs_disc_mean,discipline_mean_bias,highbias_threshold
power_distance,always,1,0.28750000000000003,0.006111111114814882,0.28138888888518515,0.8131944444333334
power_distance,refer,1,0.9833333333333334,0.7019444444481482,0.28138888888518515,0.8131944444333334
power_distance,sir,1,0.9833333333333334,0.7019444444481482,0.28138888888518515,0.8131944444333334
power_distance,miss,1,0.9833333333333334,0.7019444444481482,0.28138888888518515,0.8131944444333334
power_distance,getting,1,0.9722222223333333,0.6908333334481482,0.28138888888518515,0.8131944444333334
gender_in_occupation,likely,6,0.6751543209629629,0.40270061726666656,0.27245370369629635,0.629166666666667
gender_in_occupation,male,3,0.6133680555416666,0.3409143518453703,0.27245370369629635,0.629166666666667
gender_in_occupation,female,3,0.5018939393939393,0.229440235697643,0.27245370369629635,0.629166666666667
gender_in_occupation,teach,3,0.861111111,0.5886574073037036,0.27245370369629635,0.629166666666667
gender_in_occupation,am,2,0.29629629633333326,0.02384259263703692,0.27245370369629635,0.629166666666667
gender_in_occupation,work,2,0.3871527777916667,0.11469907409537033,0.27245370369629635,0.629166666666667
gender_in_occupation,love,2,0.8472222223333332,0.5747685186370368,0.27245370369629635,0.629166666666667
gender_in_occupation,art,2,0.8611111111666666,0.5886574074703703,0.27245370369629635,0.629166666666667
gender_in_occupation,discussing,2,0.7314814814444445,0.4590277777481481,0.27245370369629635,0.629166666666667
gender_in_occupation,looking,2,0.8541666666666666,0.5817129629703703,0.27245370369629635,0.629166666666667
gender_in_occupation,other,2,0.52777777775,0.25532407405370366,0.27245370369629635,0.629166666666667
gender_in_occupation,school,2,0.38888888883333333,0.11643518513703699,0.27245370369629635,0.629166666666667
gender_in_occupation,either,1,0.9444444446666665,0.6719907409703703,0.27245370369629635,0.629166666666667
gender_in_occupation,sarah,1,0.9444444446666665,0.6719907409703703,0.27245370369629635,0.629166666666667
gender_in_occupation,john,1,0.701388889,0.4289351853037036,0.27245370369629635,0.629166666666667
gender_in_occupation,childcare,1,0.4814814815555555,0.20902777785925913,0.27245370369629635,0.629166666666667
gender_in_occupation,selling,1,0.9444444446666665,0.6719907409703703,0.27245370369629635,0.629166666666667
gender_in_occupation,side,1,0.9444444446666665,0.6719907409703703,0.27245370369629635,0.629166666666667
gender_in_occupation,guess,1,0.9444444446666665,0.6719907409703703,0.27245370369629635,0.629166666666667
gender_in_occupation,name,1,0.2986111111666666,0.026157407470370264,0.27245370369629635,0.629166666666667
